Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
208,1264,B, 14,H,    2, 1.50, 1.50,   122.80,
208,1264,B, 14,H,    3, 1.50, 1.50,   124.30,
208,1264,B, 14,H,    4, 1.50, 1.50,   125.80,
208,1264,B, 14,H,    5, 1.50, 1.50,   127.30,
208,1264,B, 14,H,    6, 1.50, 1.50,   128.80,
208,1264,B, 14,H,    7, 0.88, 0.88,   130.30,
208,1264,B, 14,H,CC(7), 0.15, 0.15,   131.18,
208,1264,B, 15,H,    1, 1.50, 1.50,   130.80,
208,1264,B, 15,H,    2, 1.50, 1.50,   132.30,
208,1264,B, 15,H,    3, 1.50, 1.50,   133.80,
208,1264,B, 15,H,    4, 1.50, 1.50,   135.30,
208,1264,B, 15,H,    5, 1.50, 1.50,   136.80,
208,1264,B, 15,H,    6, 1.00, 1.00,   138.30,
208,1264,B, 15,H,    7, 0.84, 0.84,   139.30,"0/0"
208,1264,B, 15,H, CC(), 0.10, 0.10,   140.14,"All to PAL"
208,1264,B, 16,H,    1, 1.50, 1.50,   140.30,
208,1264,B, 16,H,    2, 1.50, 1.50,   141.80,
208,1264,B, 16,H,    3, 1.50, 1.50,   143.30,
208,1264,B, 16,H,    4, 1.50, 1.50,   144.80,
208,1264,B, 16,H,    5, 1.50, 1.50,   146.30,
208,1264,B, 16,H,    6, 1.20, 1.20,   147.80,
208,1264,B, 16,H,    7, 0.75, 0.75,   149.00,
208,1264,B, 16,H,CC(7), 0.12, 0.12,   149.75,
208,1264,B, 17,H,    1, 1.50, 1.50,   149.80,
208,1264,B, 17,H,    2, 1.50, 1.50,   151.30,
208,1264,B, 17,H,    3, 1.50, 1.50,   152.80,
208,1264,B, 17,H,    4, 1.50, 1.50,   154.30,
208,1264,B, 17,H,    5, 1.50, 1.50,   155.80,
208,1264,B, 17,H,    6, 1.00, 1.00,   157.30,
208,1264,B, 17,H,    7, 1.07, 1.07,   158.30,
208,1264,B, 17,H,CC(7), 0.10, 0.10,   159.37,"All to PAL."
208,1264,B, 18,H,    1, 1.50, 1.50,   159.30,
208,1264,B, 18,H,    2, 1.50, 1.50,   160.80,
208,1264,B, 18,H,    3, 1.50, 1.50,   162.30,
208,1264,B, 18,H,    4, 1.50, 1.50,   163.80,
208,1264,B, 18,H,    5, 1.50, 1.50,   165.30,
208,1264,B, 18,H,    6, 1.20, 1.20,   166.80,
208,1264,B, 18,H,    7, 1.00, 1.00,   168.00,
208,1264,B, 18,H,CC(7), 0.18, 0.18,   169.00,
208,1264,B, 19,H,    1, 1.50, 1.50,   168.80,
208,1264,B, 19,H,    2, 1.50, 1.50,   170.30,
208,1264,B, 19,H,    3, 1.50, 1.50,   171.80,
208,1264,B, 19,H,    4, 1.50, 1.50,   173.30,
208,1264,B, 19,H,    5, 1.50, 1.50,   174.80,
208,1264,B, 19,H,    6, 1.20, 1.20,   176.30,
208,1264,B, 19,H,    7, 0.75, 0.75,   177.50,
208,1264,B, 19,H,CC(7), 0.24, 0.24,   178.25,
208,1264,B, 20,H,    1, 1.50, 1.50,   178.30,
208,1264,B, 20,H,    2, 1.50, 1.50,   179.80,
208,1264,B, 20,H,    3, 1.50, 1.50,   181.30,
208,1264,B, 20,H,    4, 1.50, 1.50,   182.80,
208,1264,B, 20,H,    5, 1.50, 1.50,   184.30,
208,1264,B, 20,H,    6, 1.00, 1.00,   185.80,
208,1264,B, 20,H,    7, 0.59, 0.59,   186.80,
208,1264,B, 20,H,CC(7), 0.22, 0.22,   187.39,
208,1264,B, 21,H,    1, 1.50, 1.50,   187.80,
208,1264,B, 21,H,    2, 1.50, 1.50,   189.30,
208,1264,B, 21,H,    3, 1.50, 1.50,   190.80,
208,1264,B, 21,H,    4, 1.50, 1.50,   192.30,
208,1264,B, 21,H,    5, 1.50, 1.50,   193.80,
208,1264,B, 21,H,    6, 1.50, 1.50,   195.30,
208,1264,B, 21,H,    7, 0.68, 0.68,   196.80,
208,1264,B, 21,H,CC(7), 0.18, 0.18,   197.48,
208,1264,B, 22,H,    1, 1.50, 1.50,   197.30,
208,1264,B, 22,H,    2, 1.50, 1.50,   198.80,
208,1264,B, 22,H,    3, 1.50, 1.50,   200.30,
208,1264,B, 22,H,    4, 1.50, 1.50,   201.80,
208,1264,B, 22,H,    5, 1.50, 1.50,   203.30,
