XDIS-ASCII-Export of ASP.webview_cores_view_aspx, created on 11/15/2017 11:08:26 AM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	TOP_DEPTH	DRILLED_LENGTH	BOTTOM_DEPTH	MCD_OFFSET	CORE_RECOVERY	CORE_RECOVERY_PC	CORE_ONDECK	ORIENTED	LAST_SECTION	CORE_CATCHER	ANALYST	IGSN	REMARKS	
105	647	A	73	R	714	9.5	723.5	0	9.94	104.63	10/22/1985 12:00:00 AM	&nbsp;	9	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	74	R	723.5	9.5	733	0	11.53	121.37	10/22/1985 12:00:00 AM	&nbsp;	9	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	75	R	733	3	736	0	4.69	156.33	10/22/1985 12:00:00 AM	&nbsp;	5	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	1	H	0	6.8	6.8	0	6.81	100.15	10/24/1985 12:00:00 AM	&nbsp;	6	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	2	H	6.8	9.7	16.5	0	10.12	104.33	10/24/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	3	H	16.5	9.6	26.1	0	9.57	99.69	10/24/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	4	H	26.1	9.7	35.8	0	9.88	101.86	10/24/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	5	H	35.8	9.7	45.5	0	9.23	95.15	10/24/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	6	H	45.5	9.6	55.1	0	9.82	102.29	10/24/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	7	H	55.1	9.6	64.7	0	8.46	88.13	10/24/1985 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	8	H	64.7	9.6	74.3	0	9.17	95.52	10/24/1985 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	9	H	74.3	9.6	83.9	0	7.55	78.65	10/24/1985 12:00:00 AM	&nbsp;	6	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	10	H	83.9	9.6	93.5	0	7.22	75.21	10/24/1985 12:00:00 AM	&nbsp;	6	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	B	11	H	93.5	9.8	103.3	0	5.34	54.49	10/24/1985 12:00:00 AM	&nbsp;	5	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
